"state","zipcode","total_pop","total_income","country","avg_income"
"AK",0,"345220","25354974","USA","73445.843230403800"
"AK",99501,"7690","612242","USA","79615.344603381014"
"AK",99502,"11860","1000685","USA","84374.789207419899"
"AK",99503,"7510","462394","USA","61570.439414114514"
"AK",99504,"19440","1176109","USA","60499.434156378601"
"AK",99505,"2280","95855","USA","42041.666666666667"
"AK",99506,"2950","123224","USA","41770.847457627119"
"AK",99507,"18470","1505759","USA","81524.580400649702"
"AK",99508,"15170","881183","USA","58087.211601845748"
"AK",99515,"11140","1081486","USA","97081.328545780969"
"AK",99516,"9780","1525045","USA","155935.071574642127"
"AK",99517,"8060","670063","USA","83134.367245657568"
"AK",99518,"5190","360329","USA","69427.552986512524"
"AK",99540,"160","12179","USA","76118.750000000000"
"AK",99556,"1080","63140","USA","58462.962962962963"
"AK",99559,"3090","190402","USA","61618.770226537217"
"AK",99567,"4160","350830","USA","84334.134615384615"
"AK",99568,"130","8460","USA","65076.923076923077"
"AK",99572,"220","14656","USA","66618.181818181818"
"AK",99573,"440","22863","USA","51961.363636363636"
"AK",99577,"12770","1201986","USA","94125.763508222396"
"AK",99586,"230","11199","USA","48691.304347826087"
"AK",99588,"660","40654","USA","61596.969696969697"
"AK",99603,"5550","391997","USA","70630.090090090090"
"AK",99610,"1080","76005","USA","70375.000000000000"
"AK",99611,"6450","454648","USA","70488.062015503876"
"AK",99615,"6250","400538","USA","64086.080000000000"
"AK",99631,"140","9912","USA","70800.000000000000"
"AK",99639,"610","37053","USA","60742.622950819672"
"AK",99645,"13180","993654","USA","75391.047040971168"
"AK",99654,"15060","1106246","USA","73455.909694555113"
"AK",99664,"2260","146233","USA","64704.867256637168"
"AK",99669,"7680","612402","USA","79739.843750000000"
"AK",99672,"1630","118334","USA","72597.546012269939"
"AK",99674,"690","39601","USA","57392.753623188406"
"AK",99676,"960","55877","USA","58205.208333333333"
"AK",99686,"2000","170342","USA","85171.000000000000"
"AK",99688,"1320","78000","USA","59090.909090909091"
"AK",99701,"8110","471980","USA","58197.287299630086"
"AK",99702,"1290","57606","USA","44655.813953488372"
"AK",99703,"3320","132232","USA","39828.915662650602"
"AK",99705,"9040","629505","USA","69635.508849557522"
"AK",99709,"10920","849069","USA","77753.571428571429"
"AK",99712,"4420","367212","USA","83079.638009049774"
"AK",99714,"450","30629","USA","68064.444444444444"
"AK",99737,"1840","122002","USA","66305.434782608696"
"AK",99743,"600","45476","USA","75793.333333333333"
"AK",99760,"320","20087","USA","62771.875000000000"
"AK",99780,"800","42210","USA","52762.500000000000"
"AK",99801,"12210","934332","USA","76521.867321867322"
"AK",99824,"1130","90831","USA","80381.415929203540"
"AK",99827,"1270","88825","USA","69940.944881889764"
"AK",99833,"1700","114471","USA","67335.882352941176"
"AK",99835,"4470","316394","USA","70781.655480984340"
"AK",99901,"6280","437711","USA","69699.203821656051"
"AK",99999,"69840","4502817","USA","64473.324742268041"
"AL",0,"2036290","125478058","USA","61620.917452818606"
"AL",35004,"5200","302269","USA","58128.653846153846"
"AL",35005,"3190","130555","USA","40926.332288401254"
"AL",35006,"1240","65411","USA","52750.806451612903"
"AL",35007,"12050","743431","USA","61695.518672199170"
"AL",35010,"7840","410413","USA","52348.596938775510"
"AL",35014,"1600","79981","USA","49988.125000000000"
"AL",35016,"7210","385033","USA","53402.635228848821"
"AL",35019,"890","44467","USA","49962.921348314607"
"AL",35020,"8950","254213","USA","28403.687150837989"
"AL",35022,"10170","597418","USA","58743.166175024582"
